CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Cable Conexion Facil,Cable Conexión Fácil Dupont M/H 20Cm,30,Mueble Gis Parte Inferior,https://www.vistronica.com/conectores-cables-y-switches/cable-dupont-hembra-hembra-detail.html,
Cable Conexion Facil,Cable Conexión Fácil Dupont M/M 20Cm,30,Mueble Gis Parte Inferior,https://www.vistronica.com/conectores-cables-y-switches/cable-dupont-macho-macho-x40-20-cm-detail.html,
Cable,Cable Hembra-Hembra Db9 Serie Rs232 Conexión Cruzada,1,Mueble Gis Parte Inferior,SIN ENLACE DE REFERENCIA,
Cable,Cable Ribbon Gris 26 Hilos; 2 Metros.,2,Mueble Gis Parte Inferior,SIN ENLACE DE REFERENCIA,
Cable,Cable Usb Tipo A 2.0 A Micro Usb Tipo B 1.5 Metros,10,Mueble Gis Parte Inferior,https://www.vistronica.com/conectores-cables-y-switches/cable-usb-tipo-a-2-0-a-micro-usb-tipo-b-1-5-metros--detail.html,
Cable,Cable Micro Usb 1 Mt Color Negro Ref: Cab-Musb-N,30,Mueble Gis Parte Inferior,https://www.didacticaselectronicas.com.co/shop/cab-musb-n-cable-micro-usb-1-mt-1413#attr=,
Cable,Cable Usb Tipo C Negro 3A Para Carga Rapida Ref: Usb-Tipo-C-Bl3A-100Cm,8,Mueble Gis Parte Inferior,https://www.didacticaselectronicas.com.co/shop/usb-tipo-c-bl3a-100cm-cable-usb-tipo-c-negro-3a-para-carga-rapida-14267#attr=,
Cable,Cable Utp 4 Pares Categoria 6 * 10Metros,1,Mueble Gis Parte Inferior,SIN ENLACE DE REFERENCIA,
Camara,Cámara 5Mpx Para Raspberry Pi,1,Gabienete Parte Inferior,https://www.vistronica.com/board-de-desarrollo/raspberry-pi/camara-5mpx-para-raspberry-pi-detail.html,
Calentador Ceramico,Calentador Cerámico 12V Para Hotend De Impresora 3D,8,Gabienete Parte Inferior,https://www.vistronica.com/impresora-3d-y-cnc/calentador-para-hotend-de-impresora-3d-detail.html,
Calibrador,Calibrador Piederey Metalico En Milimetros Y Pulgadas (Digital),1,Gabienete Parte Superior,SIN ENLACE DE REFERENCIA,
Nan,Calibrador Micrometro 0 A 25Mm Tipo C,0,Nan,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 1 Uf 35V ,90,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 10 Uf 35V ,90,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 2.2 Uf 35V ,100,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 22Uf 35V ,72,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 47Uf 35V ,72,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 6.8 Uf 35V ,95,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Capacitor,Capacitor De Tantalio 68Uf 35V ,69,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Cargador Para Bateria,Cargador Para Bateria Gp 9V ,1,Mueble Gis Parte Superior,https://www.didacticaselectronicas.com.co/shop/bst-c8005bn-cargador-de-pilas-aa-aaa-9v-2-aa-2700mah-beston-18740?search=Cargador+para+bateria+9v+&order=name+asc#attr=,
Cautin,Cauitín 25W Con Base,2,Nan,SIN ENLACE DE REFERENCIA,
Circuito Integrador,Circuito Integrador Lm317 -Ecg956,30,Circuito Integrador Lm337T Ecg957,https://www.vistronica.com/componentes-activos/regulador-de-voltaje-lm317-to-220-detail.html,
Nan,Circuito Integrador Lm337T Ecg957,20,Circuito Integrador Lm337T Ecg957,https://www.vistronica.com/componentes-activos/regulador-de-voltaje-lm337-to-220-detail.html,
Compuesta Logica ,Compuerta Logica And 74L08,60,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/familias-logicas/compuerta-logica-and-74ls08n-detail.html,
